name,mm_x,mm_y,um_x,um_y
E15-101_23_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A15-101_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A15-101_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-101_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-106_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-132_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-140_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_01_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_02_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_04_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-65_06_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E15-92_2_PHF-1.svs,0.0002519,0.0002519,0.2519,0.2519
E15-92_4T_PHF-1.svs,0.0002519,0.0002519,0.2519,0.2519
E15-92_6O_PHF-1.svs,0.0002519,0.0002519,0.2519,0.2519
E15-92_1_PHF-1.svs,0.0002519,0.0002519,0.2519,0.2519
A15-97_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A15-97_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A15-97_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E15-97_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-11_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-11_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-11_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-11_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-110_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-110_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-110_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-110_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-138_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-138_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-138_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-138_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-19_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-19_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-19_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-19_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-21_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-21_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-21_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-21_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-21_22_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-45_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-45_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-45_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E16-45_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-66_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-66_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-66_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A16-66_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-5_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-5_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-5_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-5_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-12_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-12_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-12_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-12_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-138_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-138_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-138_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-138_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E17-143_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-143_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-143_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-143_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-147_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-147_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-147_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-147_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-21_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-21_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-21_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-21_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-32_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-32_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-32_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-32_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-36_4_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-36_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-36_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
E17-36_6_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A17-40_1_tau.svs,0.0002519,0.0002519,0.2519,0.2519
A17-40_2_tau.svs,0.0002519,0.0002519,0.2519,0.2519
